,WGS84경도,WGS84위도,관할관청,모바일정류장ID,시군명,위치,이비카드정류장ID,정류소명,정류소번호,정류소영문명,중앙차로여부,표준정류장ID
695,126.7022667,37.13885,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4170295.0,궁평2리.해운초등학교,36765.0,"Gungpyeong 2-ri, Haun Elementary School",노변정류장,233000882
696,126.6986,37.13555,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4170820.0,궁평교회,37482.0,Gungpyeong Church ,노변정류장,233000883
697,126.69345,37.1298667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 서신면,4107897.0,박고지,37029.0,Bakgoji,노변정류장,233000884
698,126.8801,37.1977,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 팔탄면,4170993.0,청요사거리,37576.0,Cheongyo Sageori,노변정류장,233000895
699,126.88008329999998,37.19826670000001,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 비봉면,4170994.0,청요사거리,37575.0,Cheongyo Sageori,노변정류장,233000898
700,126.9243667,37.2006667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4130168.0,즘곰마을.상기1리,36064.0,"Jeumgom Maeul, Sanggi 1-ri ",노변정류장,233000907
701,126.9150667,37.19825,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4117425.0,상기2리마을회관,36056.0,Sanggi 2-ri Community Center,노변정류장,233000908
702,126.9008833,37.19375,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4130176.0,기천저수지,37249.0,Gicheon Reservoir,노변정류장,233000910
703,126.94115,37.1998,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4170824.0,상기리입구,36729.0,Sanggi-ri,노변정류장,233000902
704,126.96925,37.1987,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4130147.0,보통리입구,36158.0,Botong-ri ,노변정류장,233000914
705,126.96935,37.1985667,경기도 화성시,"[None None None None None None None None None None None None None None
 None]",화성시,경기도 화성시 봉담읍,4130148.0,보통리입구,36156.0,Botong-ri,노변정류장,233000915
